Job Number	Job Name
9119	JULIA BUTLER HANSEN WILDLIFE R
9124	EGT GRAIN
9127	RAMSEY RAIL IMPROVEMENTS
10088	MISC. T&M CHAD MAHONEY
10100	SR501 RIDGEFIELD INTERCHANG
10108	ST HELENS 2010 SANITARY STORM
10109	ASTORIACSO PHS 3 DENVER ST STO
10117	HILLSBORO FIDUCIAL
10119	HIGHWAY 35 BETTERMENT
10122	BG FLOW EQUALIZATION SYS IMPRO
10123	PORT OF RIDGEFIELD CELL 3 & 4
10124	HINTON PADDEN EMPLOYMENT CENTE
10126	SCHMITZ ROAD IMPROVEMENTS
11104	RAIL LOGISTICS CENTER-P.O.M.
11105	BEAR CREEK DAM WATERLINE REPLA
11110	TOPPENISH IRRIGATION PHASE 1B
11111	Leslie Road RoundaboutPhase II
11113	NE 33RD DRIVE & BUFFALO SLOUGH
11114	MEACHAM CREEK FLOODPLAIN RESTO
11116	CITY OF GEARHART WATER TREATME
11118	Kelso Waterline Replacement
11119	PACIFIC LUMBER & SHIPPING SUPP
11120	Stilling Basin Right Bank Impr
11121	SR 14 CAMAS/ WASHOUGAL INTERCH
11122	ST JOHNS BLVD INTERCHANGE
11123	East Lents Floodplain Restorat
11125	Badger Mountain Village Phase
10122C	EQ Basin - Concrete
11104C	Port of Morrow Concrete
